2013-10-12 14:08:21.792 Connect db
2013-10-12 14:08:21.840 Greening_Up_2 - treat date 01-Jan-2012
2013-10-12 14:08:24.812 Green up Outcome BOTH | GB/Sthl 1st Jan                                    | TO BE PLACED                                       | 1 |  13 |  16 |  12 |  50 |  70 |  16
2013-10-12 14:08:24.816 Green up Outcome BOTH | GB/Sthl 1st Jan                                    | TO BE PLACED                                       | 1 |  9 |  12 |  10 |  50 |  60 |  7
2013-10-12 14:08:24.832 Green up Outcome BOTH | GB/Sthl 1st Jan                                    | TO BE PLACED                                       | 1 |  9 |  15 |  7 |  50 |  109 |  54
2013-10-12 14:08:25.060 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  9 |  18 |  17 |  50 |  53 |  0
2013-10-12 14:08:25.072 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  8 |  14 |  11 |  50 |  64 |  10
2013-10-12 14:08:25.084 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  8 |  13 |  12 |  50 |  54 |  1
2013-10-12 14:08:25.092 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  6 |  12 |  11 |  50 |  55 | -25
2013-10-12 14:08:26.276 Green up Outcome BOTH | GB/Ayr 2nd Jan                                     | TO BE PLACED                                       | 1 |  19 |  20 |  19 |  50 |  53 |  0
2013-10-12 14:08:26.284 Green up Outcome BOTH | GB/Ayr 2nd Jan                                     | TO BE PLACED                                       | 1 |  9 |  14 |  13 |  50 |  56 |  3
2013-10-12 14:08:26.316 Green up Outcome BACK_BAD | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  14 |  15 |  0 |  50 |  0 | -50
2013-10-12 14:08:26.340 Green up Outcome BOTH | GB/Plump 2nd Jan                                   | TO BE PLACED                                       | 1 |  7 |  11 |  10 |  50 |  56 |  3
2013-10-12 14:08:26.412 Green up Outcome BOTH | GB/Folk 2nd Jan                                    | TO BE PLACED                                       | 1 |  19 |  20 |  19 |  50 |  53 |  0
2013-10-12 14:08:26.468 Greening_Up_2 - treat date 02-Jan-2012
2013-10-12 14:08:26.896 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  9 |  18 |  17 |  50 |  53 |  0
2013-10-12 14:08:26.912 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  8 |  14 |  11 |  50 |  64 |  10
2013-10-12 14:08:26.928 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  8 |  13 |  12 |  50 |  54 |  1
2013-10-12 14:08:26.976 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  11 |  12 |  10 |  50 |  60 |  7
2013-10-12 14:08:26.988 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  6 |  12 |  11 |  50 |  55 | -25
2013-10-12 14:08:27.040 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  9 |  12 |  10 |  50 |  61 |  8
2013-10-12 14:08:27.088 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  14 |  18 |  15 |  50 |  62 |  9
2013-10-12 14:08:27.092 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  11 |  19 |  13 |  50 |  73 |  19
2013-10-12 14:08:27.108 Green up Outcome BACK_OK | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  22 |  20 |  0 |  50 |  0 |  876
2013-10-12 14:08:27.116 Green up Outcome BOTH | GB/Sthl 2nd Jan                                    | TO BE PLACED                                       | 1 |  9 |  12 |  9 |  50 |  65 |  12
2013-10-12 14:08:27.204 Green up Outcome BACK_BAD | IRE/Cork 2nd Jan                                   | TO BE PLACED                                       | 1 |  13 |  13 |  0 |  50 |  0 | -50
2013-10-12 14:08:27.276 Green up Outcome BOTH | IRE/Cork 2nd Jan                                   | TO BE PLACED                                       | 1 |  6 |  12 |  11 |  50 |  55 |  2
2013-10-12 14:08:27.276 Green up Outcome BOTH | IRE/Cork 2nd Jan                                   | TO BE PLACED                                       | 1 |  9 |  12 |  9 |  50 |  64 |  11
2013-10-12 14:08:27.284 Green up Outcome BOTH | IRE/Cork 2nd Jan                                   | TO BE PLACED                                       | 1 |  6 |  12 |  9 |  50 |  68 |  15
2013-10-12 14:08:27.296 Green up Outcome BOTH | IRE/Cork 2nd Jan                                   | TO BE PLACED                                       | 1 |  10 |  11 |  10 |  50 |  55 | -23
