GB/Wolv 8th Jan | TO BE PLACED | 107882313 | Sleepy Lucy |  16 |  6 |  100 |  258 |  145
GB/Wolv 8th Jan | TO BE PLACED | 107882313 | Essell |  11 |  6 |  100 |  177 |  69
GB/Wolv 8th Jan | TO BE PLACED | 107882317 | Honoured |  12 |  2 |  100 |  532 |  406
GB/Wolv 8th Jan | TO BE PLACED | 107882319 | Fly Haaf |  12 |  2 |  100 |  732 |  596
GB/Wolv 8th Jan | TO BE PLACED | 107882323 | Count Ceprano |  15 |  3 |  100 |  500 |  375
GB/Wolv 8th Jan | TO BE PLACED | 107882323 | Georgebernardshaw |  12 |  4 |  100 |  288 |  173
GB/Wolv 8th Jan | TO BE PLACED | 107882323 | Fleetwoodsands |  12 |  3 |  100 |  420 |  299
GB/Wolv 8th Jan | TO BE PLACED | 107882323 | Titan Diamond |  11 |  0 |  100 |  0 |  945
GB/Wolv 8th Jan | TO BE PLACED | 107882323 | Bertie Blu Boy |  14 |  3 |  100 |  450 |  283
GB/Wolv 8th Jan | TO BE PLACED | 107882323 | Silver Marizah |  11 |  0 |  100 |  0 | -100
GB/Wolv 8th Jan | TO BE PLACED | 107882323 | Lord Paget |  13 |  4 |  100 |  313 |  197
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Hidden Springs |  13 |  0 |  100 |  0 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Shouda |  15 |  0 |  100 |  0 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Sure Thing |  16 |  10 |  100 |  155 |  47
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Cowbridge |  12 |  7 |  100 |  147 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Social Overdrive |  11 |  0 |  100 |  0 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Harris |  16 |  12 |  100 |  129 | -48
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Tiqris |  13 |  1 |  100 |  969 |  806
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Tully Roe |  13 |  0 |  100 |  0 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107886995 | Susquehanna River |  14 |  6 |  100 |  233 |  122
GB/Ludl 9th Jan | TO BE PLACED | 107886999 | Street Dance |  12 |  6 |  100 |  192 |  82
GB/Ludl 9th Jan | TO BE PLACED | 107886999 | Canadian Diamond |  12 |  4 |  100 |  288 |  130
GB/Ludl 9th Jan | TO BE PLACED | 107887001 | Petrarchick |  18 |  0 |  100 |  0 | -100
GB/Ludl 9th Jan | TO BE PLACED | 107887001 | Queen Of Mantua |  20 |  5 |  100 |  390 |  271
GB/Ludl 9th Jan | TO BE PLACED | 107887003 | Poetic Power |  11 |  0 |  100 |  0 | -100
