2013-11-05 23:07:18.960 Connect db
2013-11-05 23:07:18.976 Greening_Up_2 - treat date 01-Jan-2012
2013-11-05 23:07:19.048 Greening_Up_2 - treat date 02-Jan-2012
2012-01-02 15:10:00.000 | BACKED_WON | GB/Folk 2nd Jan      | 2m5f Hcap Chs        |  104600941 |  708662 | TRUE | 14.00 | 0.00 | 50.00 | 0.00 | 650.00
2012-01-02 15:20:00.000 | BACKED_LOST | GB/Plump 2nd Jan     | 2m4f Hcap Chs        |  104600927 |  3640914 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:20:00.000 | BACKED_WON | GB/Plump 2nd Jan     | 2m4f Hcap Chs        |  104600927 |  3719057 | TRUE | 10.00 | 0.00 | 50.00 | 0.00 | 450.00
2012-01-02 15:20:00.000 | BACKED_LOST | GB/Plump 2nd Jan     | 2m4f Hcap Chs        |  104600927 |  4364355 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:30:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 7f Hcap              |  104599362 |  4675125 | FALSE | 13.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:35:00.000 | BACKED_LOST | GB/Ayr 2nd Jan       | 3m Hcap Hrd          |  104600845 |  4593483 | FALSE | 13.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:35:00.000 | BACKED_WON | GB/Ayr 2nd Jan       | 3m Hcap Hrd          |  104600845 |  4710840 | TRUE | 12.00 | 0.00 | 50.00 | 0.00 | 550.00
2012-01-02 15:40:00.000 | BACKED_LOST | GB/Folk 2nd Jan      | 2m1f Hcap Hrd        |  104600943 |  240912 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:40:00.000 | BACKED_LOST | GB/Folk 2nd Jan      | 2m1f Hcap Hrd        |  104600943 |  828995 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:40:00.000 | BACKED_LOST | GB/Folk 2nd Jan      | 2m1f Hcap Hrd        |  104600943 |  3242918 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:50:00.000 | BACKED_LOST | GB/Plump 2nd Jan     | 2m Hcap Hrd          |  104600929 |  2346837 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 15:50:00.000 | BACKED_LOST | GB/Plump 2nd Jan     | 2m Hcap Hrd          |  104600929 |  5932927 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2013-11-05 23:07:20.936 Greening_Up_2 - treat date 03-Jan-2012
2012-01-03 12:25:00.000 | BACKED_WON | GB/Sthl 3rd Jan      | 6f Claim Stks        |  104600962 |  1476039 | TRUE | 15.00 | 0.00 | 50.00 | 0.00 | 700.00
2012-01-03 12:25:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 6f Claim Stks        |  104600962 |  2640745 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 12:55:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 6f Mdn Stks          |  104600964 |  4980936 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 12:55:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 6f Mdn Stks          |  104600964 |  5725368 | FALSE | 11.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-03 13:55:00.000 | BACKED_LOST | GB/Sthl 3rd Jan      | 1m Hcap              |  104600968 |  4765881 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
