rl_20190409_202048765.log:2019-04-09 20:20:48.566 |datapoint|00:00.000|1.123663652|4m Hcap Chs                                       |
rl_20190409_202048765.log:2019-04-09 20:20:48.601 |datapoint|07:02.306|1.123663905|3m2f Chs                                          |
rl_20190409_202048765.log:2019-04-09 20:20:48.619 |datapoint|03:56.371|1.123647088|2m1f Grd2 Nov Hrd                                 |
rl_20190409_202048765.log:2019-04-09 20:20:48.645 |datapoint|05:13.291|1.123661731|2m4f Hcap Chs                                     |
rl_20190409_202048765.log:2019-04-09 20:20:48.676 |datapoint|06:14.166|1.123663997|3m Hcap Hrd                                       |
rl_20190409_202048765.log:2019-04-09 20:20:48.704 |datapoint|05:39.887|1.123663910|2m4f Hunt Chs                                     |
rl_20190409_202048765.log:2019-04-09 20:20:48.724 |datapoint|04:09.903|1.123661736|2m Nov Hcap Chs                                   |
rl_20190409_202048765.log:2019-04-09 20:20:48.753 |datapoint|06:43.317|1.123647095|3m2f Hcap Chs                                     |
rl_20190409_202054168.log:2019-04-09 20:20:48.784 |datapoint|05:54.469|1.123663662|2m4f Mdn Hrd                                      |
rl_20190409_202054168.log:2019-04-09 20:20:48.805 |datapoint|04:00.337|1.123663915|2m INHF                                           |
rl_20190409_202054168.log:2019-04-09 20:20:48.814 |datapoint|01:35.192|1.123657471|1m Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:48.842 |datapoint|05:12.163|1.123661741|2m4f INHF                                         |
rl_20190409_202054168.log:2019-04-09 20:20:48.850 |datapoint|01:36.271|1.123657476|1m Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:48.856 |datapoint|00:56.768|1.123657481|5f Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:48.868 |datapoint|02:03.738|1.123657486|1m2f Hcap                                         |
rl_20190409_202054168.log:2019-04-09 20:20:48.879 |datapoint|02:02.406|1.123657491|1m2f Mdn Stks                                     |
rl_20190409_202054168.log:2019-04-09 20:20:48.886 |datapoint|01:09.326|1.123657496|6f Hcap                                           |
rl_20190409_202054168.log:2019-04-09 20:20:50.634 |datapoint|01:08.779|1.123678753|6f Claim Stks                                     |
rl_20190409_202054168.log:2019-04-09 20:20:50.651 |datapoint|03:52.052|1.123660674|2m1f Grd1 Hrd                                     |
